ax,ay,az,gx,gy,gz
9080,-17668,3268,-48,-997,562
9008,-17668,3216,-46,-932,522
9024,-17808,3204,-35,-986,529
9160,-17848,3180,-66,-956,539
9144,-17628,3100,-28,-994,539
9076,-17436,3276,-22,-959,544
9124,-17908,3240,-51,-967,538
9000,-17616,3260,-96,-957,548
9152,-17708,3204,-54,-989,553
9168,-17844,3220,-63,-965,559
9060,-17524,3308,-63,-948,521
9020,-17508,3284,-52,-982,550
9072,-17452,3280,-43,-966,590
9036,-17420,3368,-61,-969,535
9076,-17536,3256,-56,-962,566
9064,-17780,3128,-63,-957,558
9052,-17644,3232,-83,-978,560
9172,-17736,3168,-65,-973,561
9056,-17532,3276,-44,-956,526
9020,-17616,3280,-59,-964,548
9056,-17704,3296,-37,-968,601
9088,-17836,3244,-48,-953,527
9080,-17608,3348,-26,-990,552
9004,-17772,3372,-61,-980,525
9152,-17596,3364,-49,-967,541
9084,-17656,3256,-68,-986,536
9064,-17428,3284,-65,-970,529
9084,-17900,3264,-43,-968,547
9068,-17800,3168,-50,-965,535
9128,-17768,3256,-78,-979,546
9064,-17584,3168,-36,-964,541
9168,-17656,3292,-61,-989,554
9092,-17696,3220,-48,-989,563
9092,-17800,3240,-57,-974,570
9040,-17520,3284,-67,-998,541
9128,-17688,3300,-59,-967,519
9064,-17604,3280,-50,-994,553
9160,-17632,3208,-52,-980,555
9080,-17956,3216,-53,-956,541
9000,-17776,3164,-40,-1003,526
8996,-17700,3324,-65,-975,528
9004,-17592,3288,-66,-987,528
9060,-18048,3192,-50,-1001,530
9092,-17632,3224,-36,-962,543
9156,-17684,3340,-64,-980,550
9056,-17464,3320,-80,-915,523
9116,-17716,3276,-36,-958,558
9096,-17852,3244,-46,-927,552
9168,-17488,3368,-70,-950,561
8900,-17504,3216,-52,-1063,539
9028,-18000,3196,-45,-956,531
9096,-17700,3236,-44,-969,517
